,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL
593,TATAMOTORS,Long Closed,2022-01-19,510.0,2022-03-02,452.95,98.0,49980.0,-5590.9,-11.186
594,TATAMOTORS,Long Closed,2022-05-04,437.95,2022-05-10,400.0,114.0,49926.301,-4326.3,-8.665
595,TATAMOTORS,Long Closed,2022-07-19,446.75,2022-09-20,430.6,111.0,49589.25,-1792.65,-3.615
596,TATAMOTORS,Long Closed,2022-11-21,425.6,2022-12-27,390.0,117.0,49795.201,-4165.2,-8.365
597,TATAMOTORS,Long Closed,2023-02-02,446.75,2023-03-21,412.85,111.0,49589.25,-3762.9,-7.588
598,TATAMOTORS,Long Closed,2023-04-20,473.7,2023-09-04,615.6,105.0,49738.501,14899.5,29.956
599,TATAMOTORS,Long Closed,2023-09-28,622.9,2024-05-17,944.0,80.0,49832.002,25688.0,51.549
600,BPCL,Long Closed,1996-02-09,11.42,1996-06-17,15.0,4379.0,49993.581,15676.82,31.358
601,BPCL,Long Closed,1996-10-14,11.46,1996-12-12,11.25,4363.0,49992.707,-916.23,-1.833
602,BPCL,Long Closed,1997-01-02,11.84,1997-08-27,18.54,4224.0,49992.797,28300.8,56.61
603,BPCL,Long Closed,1997-10-15,18.88,1997-11-05,17.71,2649.0,49999.875,-3099.33,-6.199
604,BPCL,Long Closed,1998-01-15,16.46,1998-01-30,14.48,3037.0,49983.954,-6013.26,-12.03
605,BPCL,Long Closed,1998-03-19,15.41,1998-05-26,15.42,3243.0,49989.493,32.43,0.065
606,BPCL,Long Closed,1998-11-10,10.83,1998-12-15,10.11,4615.0,49995.832,-3322.8,-6.646
607,BPCL,Long Closed,1999-05-21,11.29,1999-08-12,9.41,4428.0,49999.497,-8324.64,-16.649
608,BPCL,Long Closed,1999-09-13,11.56,2000-01-25,14.58,4326.0,49992.336,13064.52,26.133
